place,player,player_key,league,movement,country,points
486,Zongyu Li,22722,WTA,down,China,108
487,Jasmijn Gimbrere,13078,WTA,up,Netherlands,108
488,Alice Gillan,2565,WTA,down,United Kingdom,107
489,Natsumi Kawaguchi,13546,WTA,down,Japan,107
490,Anja Stankovic,52257,WTA,down,Serbia,107
491,Pia Lovric,11488,WTA,down,Slovenia,106
492,Lamis Alhussein Abdel Aziz,13865,WTA,down,Egypt,106
493,Yufei Ren,51632,WTA,same,China,105
494,Emeline Dartron,1114,WTA,up,France,105
495,Ankita Raina,1442,WTA,up,India,105
496,Ying Zhang,8910,WTA,up,China,105
497,Ania Hertel,12792,WTA,down,Poland,104
498,Yaroslava Bartashevich,9169,WTA,up,France,103
499,Boyoung Jeong,24516,WTA,down,South Korea,102
500,Misaki Matsuda,1423,WTA,down,Japan,102
501,Darya Astakhova,1435,WTA,up,World,101
502,Jessica Bertoldo,37972,WTA,up,Italy,101
503,Sarah Van Emst,50288,WTA,same,Netherlands,101
504,Alicia Dudeney,37850,WTA,same,United Kingdom,101
505,Katerina Tsygourova,23388,WTA,same,Switzerland,101
506,Haruna Arakawa,75,WTA,up,Japan,101
507,Ariana Arseneault,185,WTA,down,Canada,100
508,Riya Bhatia,93,WTA,up,India,100
509,Arina Bulatova,51324,WTA,down,World,100
510,Storm Hunter,,WTA,up,Australia,99
511,Cody Wong Hong Yi,2566,WTA,up,Hong Kong,99
